st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-06-09 16:40:00;2013-06-09 18:54:00;134;29,7;131,9;100,8;2013-06-09 16:41:00;2013-06-09 18:54:00;133;24,4;145,3;73,8;2013-06-09 16:40:00;2013-06-09 18:48:00;128;34,9;194,2;135,7;NA;NA;0;0;0;0
2013-06-10 00:17:00;2013-06-10 00:33:00;16;0,1;3,2;0,3;2013-06-10 00:30:00;2013-06-10 00:33:00;3;0,1;5,9;0,6;2013-06-10 00:17:00;2013-06-10 00:20:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-06-10 13:57:00;2013-06-10 17:42:00;225;4,6;6,2;3;2013-06-10 14:22:00;2013-06-10 17:39:00;197;4,5;6;3;2013-06-10 13:57:00;2013-06-10 17:42:00;225;4,6;6,4;3,7;NA;NA;0;0;0;0
2013-06-11 07:57:00;2013-06-11 08:00:00;3;0,1;3,2;0,3;NA;NA;0;0;0;0;2013-06-11 07:57:00;2013-06-11 08:00:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-06-14 06:31:00;2013-06-14 08:38:00;127;1,4;6,2;2,7;2013-06-14 06:34:00;2013-06-14 08:27:00;113;1,4;6;3;2013-06-14 06:31:00;2013-06-14 08:38:00;127;1,5;6,4;2,5;NA;NA;0;0;0;0
2013-06-14 12:11:00;2013-06-14 12:14:00;3;0,1;4,2;0,4;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-06-14 12:11:00;2013-06-14 12:14:00;3;0,2;12,6;1,3
2013-06-20 23:10:00;2013-06-20 23:24:00;14;0,3;4,1;1,4;2013-06-20 23:10:00;2013-06-20 23:24:00;14;0,5;6;2,4;2013-06-20 23:10:00;2013-06-20 23:22:00;12;0,3;6,4;1,9;2013-06-20 23:20:00;2013-06-20 23:23:00;3;0,1;6,1;0,6
2013-06-21 02:05:00;2013-06-21 02:33:00;28;3,2;16,5;10,7;2013-06-21 02:06:00;2013-06-21 02:30:00;24;3,3;19;10,5;2013-06-21 02:05:00;2013-06-21 02:29:00;24;3,9;25,1;14,2;2013-06-21 02:08:00;2013-06-21 02:33:00;25;2,5;12,9;7,9
2013-06-21 09:18:00;2013-06-21 09:21:00;3;0;2,1;0,2;NA;NA;0;0;0;0;2013-06-21 09:18:00;2013-06-21 09:21:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-06-23 01:10:00;2013-06-23 01:21:00;11;0,5;10,6;2,9;2013-06-23 01:18:00;2013-06-23 01:21:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;2013-06-23 01:10:00;2013-06-23 01:16:00;6;1,4;31,9;8,2
2013-06-23 02:27:00;2013-06-23 03:10:00;43;0,3;6,1;1,4;2013-06-23 02:31:00;2013-06-23 02:35:00;4;0,2;6;1,2;2013-06-23 02:27:00;2013-06-23 03:10:00;43;0,2;6,4;0,6;2013-06-23 02:30:00;2013-06-23 02:36:00;6;0,4;12,3;2,4
2013-06-23 12:14:00;2013-06-23 13:08:00;54;0,2;4,2;0,6;2013-06-23 12:14:00;2013-06-23 12:40:00;26;0,2;5,9;0,6;2013-06-23 12:17:00;2013-06-23 13:06:00;49;0,3;6,4;0,6;2013-06-23 12:43:00;2013-06-23 13:08:00;25;0,2;6,1;0,6
